Month,data_science_global
Jan-04,0
Feb-04,1
Mar-04,1
Apr-04,2
May-04,1
Jun-04,1
Jul-04,2
Aug-04,2
Sep-04,2
Oct-04,1
Nov-04,0
Dec-04,2
Jan-05,1
Feb-05,1
Mar-05,1
Apr-05,1
May-05,1
Jun-05,1
Jul-05,1
Aug-05,1
Sep-05,1
Oct-05,1
Nov-05,1
Dec-05,1
Jan-06,1
Feb-06,1
Mar-06,1
Apr-06,1
May-06,1
Jun-06,0
Jul-06,1
Aug-06,1
Sep-06,1
Oct-06,1
Nov-06,0
Dec-06,1
Jan-07,1
Feb-07,1
Mar-07,0
Apr-07,1
May-07,1
Jun-07,1
Jul-07,0
Aug-07,1
Sep-07,1
Oct-07,0
Nov-07,1
Dec-07,1
Jan-08,1
Feb-08,1
Mar-08,1
Apr-08,1
May-08,1
Jun-08,1
Jul-08,1
Aug-08,0
Sep-08,1
Oct-08,1
Nov-08,1
Dec-08,1
Jan-09,0
Feb-09,1
Mar-09,1
Apr-09,1
May-09,1
Jun-09,1
Jul-09,1
Aug-09,0
Sep-09,1
Oct-09,1
Nov-09,1
Dec-09,0
Jan-10,0
Feb-10,1
Mar-10,1
Apr-10,1
May-10,0
Jun-10,0
Jul-10,1
Aug-10,1
Sep-10,0
Oct-10,1
Nov-10,0
Dec-10,0
Jan-11,1
Feb-11,1
Mar-11,1
Apr-11,1
May-11,1
Jun-11,1
Jul-11,0
Aug-11,1
Sep-11,1
Oct-11,1
Nov-11,1
Dec-11,1
Jan-12,1
Feb-12,1
Mar-12,1
Apr-12,1
May-12,1
Jun-12,1
Jul-12,1
Aug-12,1
Sep-12,2
Oct-12,2
Nov-12,2
Dec-12,2
Jan-13,2
Feb-13,3
Mar-13,3
Apr-13,4
May-13,4
Jun-13,3
Jul-13,5
Aug-13,4
Sep-13,4
Oct-13,5
Nov-13,5
Dec-13,5
Jan-14,6
Feb-14,6
Mar-14,6
Apr-14,6
May-14,6
Jun-14,7
Jul-14,7
Aug-14,9
Sep-14,9
Oct-14,9
Nov-14,9
Dec-14,9
Jan-15,10
Feb-15,11
Mar-15,11
Apr-15,12
May-15,12
Jun-15,12
Jul-15,14
Aug-15,14
Sep-15,13
Oct-15,15
Nov-15,14
Dec-15,14
Jan-16,16
Feb-16,17
Mar-16,15
Apr-16,16
May-16,19
Jun-16,19
Jul-16,19
Aug-16,19
Sep-16,21
Oct-16,21
Nov-16,23
Dec-16,22
Jan-17,27
Feb-17,29
Mar-17,31
Apr-17,28
May-17,32
Jun-17,31
Jul-17,32
Aug-17,33
Sep-17,37
Oct-17,37
Nov-17,37
Dec-17,33
Jan-18,40
Feb-18,38
Mar-18,41
Apr-18,41
May-18,43
Jun-18,43
Jul-18,44
Aug-18,45
Sep-18,47
Oct-18,50
Nov-18,47
Dec-18,41
Jan-19,53
Feb-19,53
Mar-19,53
Apr-19,54
May-19,56
Jun-19,60
Jul-19,63
Aug-19,64
Sep-19,67
Oct-19,63
Nov-19,65
Dec-19,58
Jan-20,67
Feb-20,72
Mar-20,57
Apr-20,62
May-20,62
Jun-20,66
Jul-20,67
Aug-20,68
Sep-20,66
Oct-20,61
Nov-20,53
Dec-20,55
Jan-21,60
Feb-21,58
Mar-21,59
Apr-21,60
May-21,65
Jun-21,63
Jul-21,63
Aug-21,65
Sep-21,67
Oct-21,63
Nov-21,68
Dec-21,65
Jan-22,86
Feb-22,93
Mar-22,96
Apr-22,92
May-22,92
Jun-22,93
Jul-22,96
Aug-22,100
Sep-22,99
Oct-22,93
Nov-22,90
Dec-22,82
Jan-23,93
Feb-23,95
